,adresse.adresse_nom_voie,adresse.adresse_numero,adresse.adresse_suffixe,adresse.code_commune,adresse.code_postal,adresse.nom_commune,is_land_surface_recalculated,is_sale_price_recalculated,location.coordinates,mutation.date_mutation,nombre_pieces_principales,prix_surface,surface.surface_reelle_bati,surface.surface_terrain,type.code_type_local,valeur_fonciere
0,PAS ARCOLE,6,,92046,92240,Malakoff,False,False,"[2.303114, 48.818083]",2020-06-11T12:00:00Z,3,14962,40,0,1,598500
1,RUE AUDRAN,60,,94081,94400,Vitry-sur-Seine,False,False,"[2.380675, 48.795395]",2020-06-04T12:00:00Z,4,4600,100,257,1,460000
2,AV PASTEUR,27,,94037,94250,Gentilly,False,False,"[2.342005, 48.811542]",2020-05-29T12:00:00Z,4,7211,95,293,1,685000
3,RUE DE GENTILLY,19,,94076,94800,Villejuif,False,False,"[2.353891, 48.798946]",2020-05-29T12:00:00Z,5,8000,75,587,1,600000
4,RUE IRENEE BLANC,12,,75120,75020,Paris 20e Arrondissement,False,False,"[2.407027, 48.8656]",2020-05-28T12:00:00Z,5,10735,113,120,1,1213000
5,RUE VINCENT MORIS,69,,92046,92240,Malakoff,False,False,"[2.308765, 48.821434]",2020-05-19T12:00:00Z,3,6584,100,125,1,658400
6,RUE DES FRERES BLAIS,3,,94041,94200,Ivry-sur-Seine,False,False,"[2.384169, 48.807378]",2020-05-19T12:00:00Z,3,4000,55,55,1,220000
7,RUE DES FRERES BLAIS,43,,94041,94200,Ivry-sur-Seine,True,True,"[2.38594, 48.805835]",2020-02-17T12:00:00Z,2,5513,34,131,1,187436
8,RUE TOLSTOI,15,,94076,94800,Villejuif,False,False,"[2.352962, 48.798293]",2019-12-30T12:00:00Z,3,6073,55,248,1,334000
9,RUE ANATOLE FRANCE,5,,93027,93120,La Courneuve,True,True,"[2.408418, 48.919487]",2019-12-24T12:00:00Z,1,3042,28,19,1,85178
10,RUE EDMOND FANTIN,1,,92004,92600,Asnières-sur-Seine,False,False,"[2.29027, 48.911094]",2019-12-16T12:00:00Z,4,1282,78,0,1,100000
11,RUE CHARCOT,15,,92009,92270,Bois-Colombes,False,False,"[2.275796, 48.921314]",2019-12-10T12:00:00Z,6,8973,112,252,1,1004950
12,AV DU PRESIDENT ALLENDE,26,,94076,94800,Villejuif,False,True,"[2.352805, 48.795842]",2019-12-09T12:00:00Z,3,5510,36,223,1,198374
13,RUE DE VERDUN,2,,94076,94800,Villejuif,False,True,"[2.354087, 48.794713]",2019-12-09T12:00:00Z,6,5510,111,218,1,611652
14,RUE DE LA MARNE,45,,94081,94400,Vitry-sur-Seine,False,False,"[2.40271, 48.797478]",2019-11-20T12:00:00Z,1,9338,45,197,1,420200
15,VLA MARGUERITE,4,,93070,93400,Saint-Ouen-sur-Seine,False,False,"[2.340165, 48.907885]",2019-11-19T12:00:00Z,3,7134,82,0,1,585000
16,AV RASPAIL,59,,94037,94250,Gentilly,False,False,"[2.348864, 48.813789]",2019-10-18T12:00:00Z,6,8667,150,351,1,1300000
17,RUE EMILE DESCHANEL,4,,92004,92600,Asnières-sur-Seine,False,False,"[2.280982, 48.911845]",2019-10-17T12:00:00Z,3,8824,97,0,1,855900
18,RUE KLEBER,17,,93070,93400,Saint-Ouen-sur-Seine,False,False,"[2.333884, 48.905583]",2019-09-03T12:00:00Z,4,7630,135,0,1,1030000
19,VLA ST THIBAULT,11,,92009,92270,Bois-Colombes,False,False,"[2.266554, 48.912554]",2019-08-28T12:00:00Z,5,9182,165,0,1,1515000
20,VLA EUGENIE,5,,92075,92170,Vanves,False,False,"[2.283527, 48.815813]",2019-07-30T12:00:00Z,5,8988,113,234,1,1015600
21,RUE DE L ALMA,31,,92004,92600,Asnières-sur-Seine,False,False,"[2.285736, 48.916087]",2019-07-18T12:00:00Z,6,5254,150,113,1,788100
22,RUE MADIRAA,22,,92026,92400,Courbevoie,False,False,"[2.273211, 48.906868]",2019-07-12T12:00:00Z,6,6136,220,290,1,1350000
23,RUE AMILCAR CIPRIANI,29,,93070,93400,Saint-Ouen-sur-Seine,False,False,"[2.335241, 48.914671]",2019-07-11T12:00:00Z,5,9108,120,353,1,1093000
24,RUE PASCAL,12,,94016,94230,Cachan,False,False,"[2.325513, 48.795165]",2019-07-10T12:00:00Z,3,8000,60,100,1,480000
25,RUE DES CLOSIAUX,116,,92023,92140,Clamart,False,False,"[2.272916, 48.808647]",2019-06-28T12:00:00Z,3,5786,56,173,1,324000
26,RUE DE COLOMBES,34,,92004,92600,Asnières-sur-Seine,False,False,"[2.282901, 48.913454]",2019-06-27T12:00:00Z,3,12662,77,690,1,975000
27,VLA HALLE,8,,75114,75014,Paris 14e Arrondissement,False,False,"[2.33233, 48.831095]",2019-06-25T12:00:00Z,5,2630,100,77,1,263000
28,RUE DE LA MAISON BLANCHE,9,,92023,92140,Clamart,False,False,"[2.269526, 48.803071]",2019-06-21T12:00:00Z,5,5867,165,414,1,968000
29,PAS PERREUR,8,,75120,75020,Paris 20e Arrondissement,False,False,"[2.404512, 48.867907]",2019-06-13T12:00:00Z,4,11481,106,123,1,1217000
30,IMP DORON,7,,94003,94110,Arcueil,False,False,"[2.329893, 48.809871]",2019-06-11T12:00:00Z,6,5106,94,223,1,480000
31,RUE ARMAND SILVESTRE,157,,92026,92400,Courbevoie,False,False,"[2.273027, 48.904304]",2019-06-07T12:00:00Z,4,7143,70,58,1,500000
32,PAS DES BRUNETTES,1,,92035,92250,La Garenne-Colombes,False,False,"[2.254968, 48.905001]",2019-05-29T12:00:00Z,5,9902,102,234,1,1010000
33,RUE DU 19 MARS 1962,19,,94003,94110,Arcueil,False,False,"[2.336632, 48.810487]",2019-05-23T12:00:00Z,3,8056,36,148,1,290000
34,RUE SACCO ET VANZETTI,70,,94076,94800,Villejuif,False,False,"[2.360242, 48.805139]",2019-05-03T12:00:00Z,2,4306,36,96,1,155000
35,RUE DU MARECHAL JOFFRE,56,,92025,92700,Colombes,False,False,"[2.256775, 48.921243]",2019-04-24T12:00:00Z,5,5734,143,0,1,820000
36,VLA DES CERISES,19,,92025,92700,Colombes,False,False,"[2.257735, 48.920729]",2019-04-24T12:00:00Z,6,6615,208,506,1,1376000
37,RUE MAURICE COUDERCHET,13,,94041,94200,Ivry-sur-Seine,False,False,"[2.398846, 48.813744]",2019-04-19T12:00:00Z,3,4000,80,0,1,320000
38,RUE ALGESIRAS,7,,94081,94400,Vitry-sur-Seine,False,False,"[2.409058, 48.802039]",2019-04-12T12:00:00Z,4,3156,122,109,1,385000
39,RUE TOLSTOI,56,,94076,94800,Villejuif,False,False,"[2.351312, 48.799574]",2019-03-01T12:00:00Z,3,5166,84,194,1,433950
40,RUE GASTON MONMOUSSEAU,3,,94041,94200,Ivry-sur-Seine,False,False,"[2.378128, 48.80785]",2019-02-22T12:00:00Z,3,11522,50,724,1,576089
41,RUE DU ROCHER,17,,92004,92600,Asnières-sur-Seine,False,False,"[2.269093, 48.909913]",2019-02-20T12:00:00Z,3,18113,53,265,1,960000
42,RUE AMBROISE CROIZAT,62,,94076,94800,Villejuif,False,False,"[2.360458, 48.801935]",2019-01-29T12:00:00Z,6,4615,134,206,1,618460
43,PAS BOURGOIN,16,,75113,75013,Paris 13e Arrondissement,False,False,"[2.368679, 48.824258]",2018-10-22T12:00:00Z,5,12587,175,102,1,2202750
44,RUE CAMILLE PELLETAN,19,,92049,92120,Montrouge,False,False,"[2.308915, 48.816769]",2018-09-26T12:00:00Z,3,9942,86,170,1,855000
45,RUE REULOS,5,,94076,94800,Villejuif,True,True,"[2.364131, 48.801566]",2018-07-19T12:00:00Z,3,4612,50,145,1,230583
46,RUE DES GATINES,27,,75120,75020,Paris 20e Arrondissement,True,True,"[2.398487, 48.866494]",2018-06-05T12:00:00Z,5,6561,157,185,1,1030037
47,RUE ETIENNE DOLET,54,,94016,94230,Cachan,False,False,"[2.339309, 48.795225]",2018-05-30T12:00:00Z,3,4433,97,0,1,430000
48,RUE CONDORCET,30,,92023,92140,Clamart,True,True,"[2.266864, 48.810718]",2018-05-16T12:00:00Z,1,1429,25,39,1,35714
49,RUE PAUL DEROULEDE,31,,92009,92270,Bois-Colombes,False,False,"[2.269644, 48.912921]",2018-05-14T12:00:00Z,6,5000,107,0,1,535000
50,RUE RENAN,3,B,92004,92600,Asnières-sur-Seine,False,False,"[2.294257, 48.915328]",2018-05-02T12:00:00Z,5,7533,87,0,1,655348
51,RUE DE L'AFFICHE ROUGE,6,,94041,94200,Ivry-sur-Seine,False,False,"[2.370776, 48.807656]",2018-03-28T12:00:00Z,3,5634,82,0,1,462000
52,RUE LIANCOURT,46,,75114,75014,Paris 14e Arrondissement,False,True,"[2.324985, 48.834906]",2018-03-20T12:00:00Z,1,10204,29,0,1,295918
53,VLA DES ROSES AV ARGENTEUIL,14,,92009,92270,Bois-Colombes,False,False,"[2.277959, 48.919835]",2018-03-14T12:00:00Z,3,13476,50,391,1,673800
54,VLA MODERNE,16,,94003,94110,Arcueil,False,False,"[2.327564, 48.807789]",2018-01-29T12:00:00Z,2,7079,38,113,1,269000
55,RUE IRENEE BLANC,3,,75120,75020,Paris 20e Arrondissement,False,False,"[2.407281, 48.865719]",2018-01-18T12:00:00Z,4,11471,68,85,1,780000
56,RUE ALBERT DHALENNE,73,,93070,93400,Saint-Ouen-sur-Seine,False,False,"[2.33401, 48.913776]",2017-12-21T12:00:00Z,4,6506,79,0,1,514000
57,AV ARISTIDE BRIAND,122,,92049,92120,Montrouge,False,False,"[2.325597, 48.812834]",2017-11-20T12:00:00Z,6,6036,110,125,1,664000
58,PL HENRI SELLIER,42,,93061,93310,Le Pré-Saint-Gervais,False,False,"[2.410066, 48.883898]",2017-10-23T12:00:00Z,3,7818,55,164,1,430000
59,RUE JEAN DUSSOURD,17,,92004,92600,Asnières-sur-Seine,False,False,"[2.290461, 48.907419]",2017-10-23T12:00:00Z,7,7536,140,0,1,1055000
60,AV VICTOR CRESSON,88,B,92040,92130,Issy-les-Moulineaux,False,False,"[2.262892, 48.82175]",2017-07-26T12:00:00Z,8,6417,290,198,1,1861000
61,RUE RABELAIS,27,,92004,92600,Asnières-sur-Seine,False,False,"[2.293259, 48.913724]",2017-07-24T12:00:00Z,4,8321,94,109,1,782150
62,RUE DE LA TOUR,70,,75116,75016,Paris 16e Arrondissement,False,False,"[2.280663, 48.860789]",2017-07-07T12:00:00Z,2,15455,33,0,1,510000
63,ALL DES CARRIERES,6,,92040,92130,Issy-les-Moulineaux,False,False,"[2.260037, 48.819947]",2017-06-19T12:00:00Z,3,17231,65,165,1,1120000
64,AV HENRI RAVERA,108,,92007,92220,Bagneux,False,True,"[2.30999, 48.80115]",2017-05-31T12:00:00Z,1,2076,14,0,1,29057
